lsb-release,4.1+Debian11ubuntu6
lshw,02.16-2ubuntu1
lsof,4.86+dfsg-1ubuntu2
lsscsi,0.27-2
ltrace,0.7.3-4ubuntu5
lvm2,2.02.98-6ubuntu2
lxc-docker,1.2.0
lxc-docker-1.2.0,1.2.0
m4,1.4.17-2ubuntu1
make,3.81-8.2ubuntu3
makedev,2.3.1-93ubuntu1
makedumpfile,1.5.5-2ubuntu1
man-db,2.6.7.1-1
manpages,3.54-1ubuntu1
manpages-dev,3.54-1ubuntu1
mawk,1.3.3-17ubuntu2
memcached,1.4.14-0ubuntu9
memtest86+,4.20-1.1ubuntu8
mime-support,3.54ubuntu1
mlocate,0.26-1ubuntu1
module-init-tools,15-0ubuntu6
mount,2.20.1-5.1ubuntu20.1
mountall,2.53
mtr-tiny,0.85-2
multiarch-support,2.19-0ubuntu6
mysql-client-5.5,5.5.40-0ubuntu0.14.04.1
mysql-client-core-5.5,5.5.40-0ubuntu0.14.04.1
mysql-common,5.5.40-0ubuntu0.14.04.1
mysql-server,5.5.40-0ubuntu0.14.04.1
mysql-server-5.5,5.5.40-0ubuntu0.14.04.1
mysql-server-core-5.5,5.5.40-0ubuntu0.14.04.1
nano,2.2.6-1ubuntu1
ncurses-base,5.9+20140118-1ubuntu1
ncurses-bin,5.9+20140118-1ubuntu1
ncurses-term,5.9+20140118-1ubuntu1
net-tools,1.60-25ubuntu2
netbase,5.2
netcat-openbsd,1.105-7ubuntu1
nova-api,1:2014.1.3-0ubuntu2
nova-cert,1:2014.1.3-0ubuntu2
nova-common,1:2014.1.3-0ubuntu2
nova-conductor,1:2014.1.3-0ubuntu2
nova-consoleauth,1:2014.1.3-0ubuntu2
nova-novncproxy,1:2014.1.3-0ubuntu2
nova-scheduler,1:2014.1.3-0ubuntu2
novnc,1:0.4+dfsg+1+20131010+gitf68af8af3d-2
ntfs-3g,1:2013.1.13AR.1-2ubuntu2
ntp,1:4.2.6.p5+dfsg-3ubuntu2
ntpdate,1:4.2.6.p5+dfsg-3ubuntu2
openipmi,2.0.18-0ubuntu7.1
openssh-client,1:6.6p1-2ubuntu1
openssh-server,1:6.6p1-2ubuntu1
openssh-sftp-server,1:6.6p1-2ubuntu1
openssl,1.0.1f-1ubuntu2.7
os-prober,1.63ubuntu1
parted,2.3-19ubuntu1
passwd,1:4.1.5.1-1ubuntu9
patch,2.7.1-4
patchutils,0.3.2-3
pbuilder,0.215ubuntu7
pciutils,1:3.2.1-1ubuntu5
perl,5.18.2-2ubuntu1
perl-base,5.18.2-2ubuntu1
perl-modules,5.18.2-2ubuntu1
plymouth,0.8.8-0ubuntu17
plymouth-theme-ubuntu-text,0.8.8-0ubuntu17
po-debconf,1.0.16+nmu2ubuntu1
policykit-1,0.105-4ubuntu2
popularity-contest,1.57ubuntu1
powermgmt-base,1.31build1
ppp,2.4.5-5.1ubuntu2
pppconfig,2.3.19ubuntu1
pppoeconf,1.20ubuntu1
procps,1:3.3.9-1ubuntu2
psmisc,22.20-1ubuntu2
python,2.7.5-5ubuntu3
python-amqp,1.3.3-1ubuntu1
python-amqplib,1.0.2-1
python-anyjson,0.3.3-1build1
python-apt,0.9.3.5
python-apt-common,0.9.3.5
python-babel,1.3+dfsg.1-2ubuntu1
python-babel-localedata,1.3+dfsg.1-2ubuntu1
python-blinker,1.3.dfsg1-1ubuntu2
python-boto,2.20.1-2ubuntu2
python-ceph,0.80.1-0ubuntu1.1
python-chardet,2.0.1-2build2
python-cinder,1:2014.1.2-0ubuntu1
python-cinderclient,1:1.0.8-0ubuntu1
python-cliff,1.4.5-1ubuntu2
python-cliff-doc,1.4.5-1ubuntu2
python-cmd2,0.6.7-2fakesync1build1
python-colorama,0.2.5-0.1ubuntu1
python-concurrent.futures,2.1.6-3
python-configobj,4.7.2+ds-5build1
python-crypto,2.6.1-4build1
python-debian,0.1.21+nmu2ubuntu2
python-decorator,3.4.0-2build1
python-distlib,0.1.8-1
python-dns,2.3.6-3
python-dogpile.cache,0.5.1-0ubuntu2
python-dogpile.core,0.4.1-0ubuntu3
python-eventlet,0.13.0-1ubuntu2
python-flask,0.10.1-2build1
